epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,1842.33,0.47221,0.32412,0.00556,0.96462,0.95887,0.99297,0.88083,0.50993,0.2303,0.00936,0.000155761,0.000155761,0.000155761
182,1852.52,0.4402,0.29681,0.00483,0.94495,0.96401,0.99255,0.87834,0.51516,0.24267,0.00944,0.000148687,0.000148687,0.000148687
183,1862.66,0.46932,0.33468,0.0054,0.9895,0.89976,0.99041,0.86528,0.52894,0.257,0.00963,0.000141614,0.000141614,0.000141614
184,1872.82,0.46396,0.33448,0.00528,0.98206,0.93621,0.99012,0.86306,0.54517,0.25513,0.0099,0.00013454,0.00013454,0.00013454
185,1882.7,0.45813,0.29616,0.00535,0.98724,0.93901,0.99079,0.86332,0.53492,0.25062,0.00967,0.000127467,0.000127467,0.000127467
186,1892.87,0.4484,0.30398,0.00519,0.99059,0.93869,0.99156,0.87827,0.52727,0.24077,0.00959,0.000120393,0.000120393,0.000120393
187,1902.77,0.43262,0.28397,0.00512,0.96649,0.96057,0.99136,0.87285,0.51664,0.24089,0.00941,0.00011332,0.00011332,0.00011332
188,1913.06,0.45128,0.30499,0.00523,0.95525,0.97121,0.99031,0.86808,0.51252,0.23524,0.00935,0.000106246,0.000106246,0.000106246
189,1923.41,0.4535,0.32278,0.00535,0.95662,0.96854,0.98739,0.87595,0.51904,0.24514,0.00948,9.91726e-05,9.91726e-05,9.91726e-05
190,1933.09,0.42972,0.28611,0.00512,0.98266,0.96005,0.99014,0.88218,0.51714,0.23627,0.00945,9.20991e-05,9.20991e-05,9.20991e-05
191,1943.18,0.39188,0.28696,0.00615,0.96888,0.97106,0.98547,0.87401,0.52041,0.25127,0.00944,8.50255e-05,8.50255e-05,8.50255e-05
192,1953.31,0.38522,0.27867,0.00563,0.97451,0.93788,0.97985,0.8652,0.5324,0.2787,0.00969,7.7952e-05,7.7952e-05,7.7952e-05
193,1963.1,0.38511,0.28123,0.00601,0.98171,0.92705,0.983,0.86079,0.53909,0.27952,0.00986,7.08784e-05,7.08784e-05,7.08784e-05
194,1972.91,0.40091,0.2912,0.00599,0.98376,0.92913,0.98595,0.86782,0.53723,0.27347,0.00981,6.38049e-05,6.38049e-05,6.38049e-05
195,1982.58,0.38419,0.25953,0.00554,0.97422,0.94848,0.98702,0.87223,0.53294,0.26028,0.00973,5.67313e-05,5.67313e-05,5.67313e-05
196,1992.25,0.38053,0.2543,0.00544,0.9746,0.93963,0.98733,0.87301,0.53066,0.25917,0.00966,4.96578e-05,4.96578e-05,4.96578e-05
197,2002.46,0.37754,0.24928,0.00539,0.95589,0.96226,0.98802,0.8663,0.52906,0.2554,0.0096,4.25842e-05,4.25842e-05,4.25842e-05
198,2012.55,0.37216,0.22428,0.00512,0.97755,0.93703,0.98679,0.86602,0.52681,0.2583,0.00958,3.55107e-05,3.55107e-05,3.55107e-05
199,2022.72,0.37602,0.23905,0.00563,0.96663,0.95375,0.98763,0.87005,0.52711,0.25836,0.00956,2.84371e-05,2.84371e-05,2.84371e-05
200,2032.61,0.38847,0.24335,0.00532,0.95639,0.97883,0.99242,0.87883,0.52786,0.24578,0.00956,2.13636e-05,2.13636e-05,2.13636e-05
